fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
PrecidioDesign,precidio_design,Precidio,Kids,Parenting,Eco-Friendly,,,1337,20211.0148123519,20098.0048631458,28.8255035254431,1.0,1.03435930584077,,790.9077893767329,7963.51978676078,599.023272550612,27.670436901612398,0.219680181532844,8.12669224597776,-0.116178473381151,0.298321037790509,0.0,-9.6e-05,,0.252104967430105,-0.0043521348253340005,-0.025034017087237
,modest_home,Modest Home,Lifestyle,Home,Design,,,1338,,,,,,,,,,,,,,,,,,,,
zoalifestyleofficial,zoa_lifestyle_official,ZOA Lifestyle,Lifestyle,Bottles Aug,Accessories,,,1339,6238.99222502752,6212.90913664235,0.552559478957144,,3.9894443565338498,2.00561797752809,922.689045875018,1275.5620164775098,727.0,1.00899520931088,0.0,14.730206571637002,-0.43842187429429097,-0.43354727213676403,,0.018516151969791003,0.005546978077779,-0.27537551567757396,-0.000106030824759,0.00616092531378
catchiihomeware,catchiihomeware,CATCHII HOMEWARE,Home,Design,Art,M&O Paris Sep 2018,,1340,,,,,,,4070.36684887105,11401.711398699399,1496.66596942537,70.863159315578,0.306995105197118,29.2647764337598,,,,,,-2.00213918135645,-0.004917760466538,-0.036948003094973
NickyJamesLondon,nickyjamesldn,NICKY JAMES,Lifestyle,Bags,Home,M&O Paris Sep 2018,,1341,20239.2714295815,20512.7906162074,12.661854657834402,5.16280936067278,20.7894882172978,1.80040340470642,7.02607673853362,1610.6247784078,192.385274028761,13.799629855996,0.796833651318989,17.931710015036604,12.934559517466301,13.691113628445999,0.045132625239025996,0.127866826004748,0.005438747755518,2.9845383751335097,0.006605043679093,0.037559809415769994
kanttari,kanttari_furniture,KANTTARI,Furniture,Design,Luxury,M&O Paris Sep 2018,,1342,1039.3834146342501,1116.61432769838,28.011824121053,3.02222851695085,25.1782083461102,1.72796380314252,1927.1358737093499,4056.06967452766,874.191701227516,172.992193947809,1.33224074955804,0.0,1.74924003419025,1.9437812432229298,0.010338988239554,-0.006192682316444999,-0.007188037192426999,-0.307190276466276,0.003590493095985,-0.382995812395726
Comotomo,comotomobaby,Como Tomo,Kids,Bottles Aug,Design,,,1343,167051.170250813,166653.298817748,88.8249103692051,11.9203374247453,5.267143438481639,2.15975178408114,1684.17043427015,107520.044354715,1090.7321928675801,101.519301238468,118.620117555872,401.83413975739,6.802334448948799,7.923440987800619,-0.0030387375546540004,-0.025228909115999,-0.033330849241787,96.56677267101989,0.609655403054595,0.946186023378734
Siriuscompanyas,sirius_nordicdesign,SIRIUS COMPANY AS,Lighting,Décor,Candles,M&O Paris Sep 2018,,1344,13106.024265176398,13365.8337785068,,,,,5.9008795071462306,4.0,0.0,,,,0.14094213612691,0.210288379439129,,,,6.12e-08,,
IncocoHK,incocohk,Incoco,Lifestyle,Beauty,Design,,,1345,4766.0105263159,4951.66891616961,,,,,238.444342423041,6669.3884654326,1100.99656025604,13.4218604564662,0.36847628245080394,28.9341830704915,-0.43217664150348206,-0.40055183155305996,,,,-1.66367084120854,-0.003431826210332,0.0342915484022
,babyjackco,Baby Jack and Company,Kids,Toy,Siblings,,,1346,,,,,,,1788.3943278271202,11665.845448767199,4260.36397408585,98.8395131182663,4.81401870228411,24.7915763737199,,,,,,0.536833328787256,-0.011126394666488999,0.05867286621987999
