Unnamed: 0,fb_username,ig_username,brand,cat_1,cat_2,cat_3,cat_4,country,brandID,fb_likes,fb_followers,fb_posts_num,fb_avg_comments_num,fb_avg_likes_num,fb_avg_shares_num,ig_followings,ig_followers,ig_posts,ig_posts_num,ig_avg_comments_num,ig_avg_likes_num,fb_likes_growth,fb_followers_growth,fb_avg_comments_num_growth,fb_avg_likes_num_growth,fb_avg_shares_num_growth,ig_followers_growth,ig_avg_comments_num_growth,ig_avg_likes_num_growth
3106,Buildmygiftsdotcom,buildmygifts,Buildmygifts,Lifestyle,Gifts,Kids,Hong Kong,,3107,540.915915232777,540.915915232777,,,,,4839.1232266771,1331.98733309411,90,,,,-0.025550880526588,-0.025550880526588,,,,-0.309936645802614,,
3107,sostrenegrene,sostrenegrene,Søstrene Grene,Home,Tableware,Décor,,,3108,2234762.99699137,2237215.63817467,55.6064562106578,2.92790533716509,15.6083011251028,3.82794747092307,342.010369556688,1400160.12797003,2105.42409731222,116.121323670322,113.833386746586,9922.74847038396,156.624775915958,158.243015212679,0.000204576400846,-0.003694246786622,-0.005938266143578,461.699852403841,-0.149423669070731,1.206549663918
3110,amipure,amipure_en,Amipure,Skincare,,,,,3111,30.8744510149658,31.8327425104264,1,,1,,1,5084.69714121326,16,0.838621970746188,0,-190.402439189677,0.229153313284464,0.229153313284464,,0,,-1.2257408228443,-1.41E-06,-0.00469730865306
3111,nsjstylishstore,nsjstylishstore,NSJ Stylish Store,Lifestyle,Eco-Friendly,Malaysia,Sino Project,MY,3112,,,,,,,,,,,,,,,,,,,,
3114,quickfirestarters,,QuickFire,Outdoor,Cookware,Waterproof,,,3115,,,,,,,,,,,,,,,,,,,,
3116,youthtothepeople,youthtothepeople,Youth To The People,Skincare,Vegan Product,USA,Sustainability,US,3117,19829.8507557723,20807.0569193902,17.0559633544547,0.093591858953027,7.29172455953715,1.98365290625321,1221.52687462996,248859.214133224,2582.51272116162,107.565418963161,151.239302360765,2062.26221355568,50.0741037536995,57.2885740926498,-6.14E-05,0.055902742824184,-0.010266413322109,336.82817441395,0.818273414058174,8.52863134871802
3117,hellowynd,hellowynd,Wynd,Tech,Home,,,,3118,24625.052049539,24723.4637675929,4.4811050439263,,2.23346625207578,,571.282990056553,4250.9345809987,120,2.65080922576671,0.232326410184051,12.0744190185844,-2.37030802401337,-2.36906357669135,,-1.68E-05,,7.79786900332823,-0.058497059036853,0.022154977393291
3119,ezTeethbrush,EZTEETHBRUSH,EZ Teethbrush,Family,Health,Electronic,,,3120,9544.4541407752,9590.73221387313,,,,,2640.11621575536,762.533112102674,49.1681059145658,,,,-1.11450401070765,-1.08832072871229,,,,0.285976297639852,,
3120,molekuleair,molekuleair,Molekule,Tech,Home,,,,3121,85549.5526667863,88249.7135334309,23.2968908250648,26.100862313446,471.138255921228,68.399906797066,900.321288116137,86822.9181827372,315.001051124995,23.3832855054091,14.7674571298219,254.548900541494,3.35706491968471,4.91226779080414,0.045522631663773,-0.632048889117517,-0.091240127836074,8.55530637806035,-0.011345951371023,0.304452465535189
3122,,likemin_art,likemin,Paintwork,Artwork,South Korea,Sino Project,,3123,,,,,,,,,,,,,,,,,,,,
